name,date,score
Jack Nicholson,2004,6.7
Jack Nicholson,2003,6.7
Jack Nicholson,2003,6.2
Jack Nicholson,2002,7.2
Jack Nicholson,2001,6.8
Jack Nicholson,1997,7.7
Jack Nicholson,1996,6.4
Jack Nicholson,1996,5.9
Jack Nicholson,1996,6.0
Jack Nicholson,1995,6.3
Jack Nicholson,1994,6.3
Jack Nicholson,1992,6.6
Jack Nicholson,1992,4.7
Jack Nicholson,1990,6.1
Jack Nicholson,1989,7.5
Jack Nicholson,1987,6.7
Jack Nicholson,1987,7.3
Jack Nicholson,1987,7.8
Jack Nicholson,1987,6.5
Jack Nicholson,1986,6.1
Jack Nicholson,1985,6.7
Jack Nicholson,1983,7.4
Jack Nicholson,1982,6.4
Jack Nicholson,1981,7.3
Jack Nicholson,1981,6.6
Jack Nicholson,1980,8.4
Jack Nicholson,1978,6.2
Jack Nicholson,1976,6.2
Jack Nicholson,1976,6.5
Jack Nicholson,1975,8.7
Jack Nicholson,1975,5.6
Jack Nicholson,1975,6.6
Jack Nicholson,1975,7.5
Jack Nicholson,1974,8.1
Jack Nicholson,1973,7.5
Jack Nicholson,1972,6.5
Jack Nicholson,1971,5.0
Jack Nicholson,1971,6.9
Jack Nicholson,1971,6.5
Jack Nicholson,1970,7.4
Jack Nicholson,1970,6.3
Jack Nicholson,1970,4.1
Jack Nicholson,1969,7.2
Jack Nicholson,1968,6.4
Jack Nicholson,1968,5.9
Jack Nicholson,1960,8.4
Jack Nicholson,1967,7.6
Jack Nicholson,1967,6.6
Jack Nicholson,1967,5.1
Jack Nicholson,1966,6.4
Jack Nicholson,1966,6.5
Jack Nicholson,1961,7.0
Jack Nicholson,1964,5.2
Jack Nicholson,1964,5.3
Jack Nicholson,1964,5.9
Jack Nicholson,1963,5.0
Jack Nicholson,1963,6.5
Jack Nicholson,1962,6.4
Jack Nicholson,1962,5.1
Jack Nicholson,1959,7.7
Jack Nicholson,1962,5.4
Jack Nicholson,1952,6.8
Jack Nicholson,1958,7.2
Jack Nicholson,1958,7.7
Jack Nicholson,1957,7.9
Jack Nicholson,1960,5.0
Jack Nicholson,1960,7.5
Jack Nicholson,1960,6.2
Jack Nicholson,1960,4.4
Jack Nicholson,1959,7.6
Jack Nicholson,1960,5.1
Jack Nicholson,1958,5.1
Jack Nicholson,1955,7.5
Leonardo DiCaprio,2023,7.7
Leonardo DiCaprio,2021,7.2
Leonardo DiCaprio,2019,7.6
Leonardo DiCaprio,2019,6.1
Leonardo DiCaprio,2015,8.0
Leonardo DiCaprio,2015,6.6
Leonardo DiCaprio,2013,8.2
Leonardo DiCaprio,2013,7.2
Leonardo DiCaprio,2012,8.5
Leonardo DiCaprio,2012,8.5
Leonardo DiCaprio,2011,6.5
Leonardo DiCaprio,2010,7.5
Leonardo DiCaprio,2010,8.8
Leonardo DiCaprio,2010,8.2
Leonardo DiCaprio,2008,7.3
Leonardo DiCaprio,2008,7.0
Leonardo DiCaprio,2006,8.0
Leonardo DiCaprio,2006,8.5
Leonardo DiCaprio,2004,7.5
Leonardo DiCaprio,2002,8.1
Leonardo DiCaprio,2002,7.5
Leonardo DiCaprio,2001,5.6
Leonardo DiCaprio,2000,6.6
Leonardo DiCaprio,1998,6.3
Leonardo DiCaprio,1998,6.5
Leonardo DiCaprio,1997,7.9
Leonardo DiCaprio,1996,6.7
Leonardo DiCaprio,1996,6.7
Leonardo DiCaprio,1995,6.5
Leonardo DiCaprio,1995,6.5
Leonardo DiCaprio,1995,7.3
Leonardo DiCaprio,1994,5.1
Leonardo DiCaprio,1993,7.7
Leonardo DiCaprio,1993,7.3
Leonardo DiCaprio,1985,6.6
Leonardo DiCaprio,1992,5.4
Leonardo DiCaprio,1991,4.4
Leonardo DiCaprio,1990,5.7
Leonardo DiCaprio,1988,7.0
Leonardo DiCaprio,1990,5.6
Leonardo DiCaprio,1989,6.3
Leonardo DiCaprio,1984,5.7
Leonardo DiCaprio,1990,7.2
Leonardo DiCaprio,1953,7.3
Gary Oldman,2022,8.1
Gary Oldman,2023,8.4
Gary Oldman,2021,6.1
Gary Oldman,2021,5.7
Gary Oldman,2021,6.2
Gary Oldman,2020,6.8
Gary Oldman,2020,4.7
Gary Oldman,2019,4.8
Gary Oldman,2019,6.3
Gary Oldman,2019,4.5
Gary Oldman,2019,4.0
Gary Oldman,2018,5.8
Gary Oldman,2018,6.6
Gary Oldman,2017,6.9
Gary Oldman,2017,7.4
Gary Oldman,2017,6.9
Gary Oldman,2016,6.3
Gary Oldman,2015,7.8
Gary Oldman,2015,6.0
Gary Oldman,2015,6.4
Gary Oldman,2014,7.6
Gary Oldman,2014,6.1
Gary Oldman,2013,6.5
Gary Oldman,2013,5.6
Gary Oldman,2013,8.1
Gary Oldman,2012,5.5
Gary Oldman,2012,8.4
Gary Oldman,2012,7.2
Gary Oldman,2012,7.7
Gary Oldman,2011,7.0
Gary Oldman,2011,8.1
Gary Oldman,2011,7.2
Gary Oldman,2011,5.4
Gary Oldman,2010,6.9
Gary Oldman,2010,8.3
Gary Oldman,2010,6.8
Gary Oldman,2009,6.0
Gary Oldman,2009,6.8
Gary Oldman,2009,4.6
Gary Oldman,2009,6.2
Gary Oldman,2009,4.7
Gary Oldman,2008,7.1
Gary Oldman,2008,8.2
Gary Oldman,2008,7.1
Gary Oldman,2008,9.0
Gary Oldman,2007,6.7
Gary Oldman,2007,7.8
Gary Oldman,2007,7.5
Gary Oldman,2006,6.9
Gary Oldman,2006,5.7
Gary Oldman,2005,7.7
Gary Oldman,2005,5.3
Gary Oldman,2005,8.2
Gary Oldman,2004,3.4
Gary Oldman,2004,7.9
Gary Oldman,2003,4.5
Gary Oldman,2003,6.8
Gary Oldman,2003,7.8
Gary Oldman,2002,4.2
Gary Oldman,2002,7.3
Gary Oldman,2002,7.5
Gary Oldman,2002,7.6
Gary Oldman,1994,8.9
Gary Oldman,2001,6.8
Gary Oldman,2001,6.2
Gary Oldman,2000,6.9
Gary Oldman,1999,6.0
Gary Oldman,1996,7.3
Gary Oldman,1998,7.6
Gary Oldman,1998,6.2
Gary Oldman,1998,5.2
Gary Oldman,1997,6.5
Gary Oldman,1997,7.6
Gary Oldman,1996,6.9
Gary Oldman,1995,5.3
Gary Oldman,1995,7.3
Gary Oldman,1994,7.4
Gary Oldman,1994,8.5
Gary Oldman,1994,6.7
Gary Oldman,1982,7.7
Gary Oldman,1983,8.6
Gary Oldman,1993,6.6
Gary Oldman,1993,7.9
Gary Oldman,1993,6.4
Gary Oldman,1992,7.4
Gary Oldman,1991,8.0
Gary Oldman,1985,6.3
Gary Oldman,1990,6.3
Gary Oldman,1990,7.3
Gary Oldman,1990,7.2
Gary Oldman,1979,6.9
Gary Oldman,1989,6.3
Gary Oldman,1988,5.9
Gary Oldman,1988,5.6
Gary Oldman,1988,5.8
Gary Oldman,1987,6.8
Gary Oldman,1987,7.1
Gary Oldman,1986,7.6
Gary Oldman,1986,7.0
Gary Oldman,1985,6.5
Gary Oldman,1984,7.2
Gary Oldman,1983,6.5
Gary Oldman,1983,7.2
Gary Oldman,1982,5.2
Robin Williams,2015,6.0
Robin Williams,2014,6.2
Robin Williams,2014,5.2
Robin Williams,2014,5.7
Robin Williams,2014,5.8
Robin Williams,2013,7.0
Robin Williams,2013,6.2
Robin Williams,2013,7.2
Robin Williams,2013,5.6
Robin Williams,2010,8.5
Robin Williams,2011,7.8
Robin Williams,2011,5.8
Robin Williams,1975,8.0
Robin Williams,2009,5.3
Robin Williams,1999,8.2
Robin Williams,2009,6.0
Robin Williams,2009,6.6
Robin Williams,2009,6.9
Robin Williams,1999,8.1
Robin Williams,2002,4.3
Robin Williams,2008,7.8
Robin Williams,2007,7.4
Robin Williams,2007,5.2
Robin Williams,2006,6.5
Robin Williams,2006,6.4
Robin Williams,2006,6.2
Robin Williams,2006,5.7
Robin Williams,2006,5.6
Robin Williams,2006,5.9
Robin Williams,2005,6.3
Robin Williams,2005,6.4
Robin Williams,2004,6.1
Robin Williams,2004,6.8
Robin Williams,2004,6.1
Robin Williams,2003,5.7
Robin Williams,2003,8.1
Robin Williams,2003,5.8
Robin Williams,2002,7.2
Robin Williams,2002,6.3
Robin Williams,2002,6.8
Robin Williams,2001,7.2
Robin Williams,1999,6.9
Robin Williams,1999,6.5
Robin Williams,1998,5.9
Robin Williams,1997,8.5
Robin Williams,1998,6.8
Robin Williams,1998,7.0
Robin Williams,1998,6.8
Robin Williams,1997,8.3
Robin Williams,1997,5.3
Robin Williams,1997,7.3
Robin Williams,1997,5.3
Robin Williams,1994,8.9
Robin Williams,1996,7.7
Robin Williams,1996,5.6
Robin Williams,1996,6.3
Robin Williams,1996,5.8
Robin Williams,1996,7.2
Robin Williams,1995,7.1
Robin Williams,1995,6.0
Robin Williams,1995,6.7
Robin Williams,1995,5.5
Robin Williams,1994,7.1
Robin Williams,1992,8.5
Robin Williams,1994,5.3
Robin Williams,1993,8.7
Robin Williams,1993,7.1
Robin Williams,1992,6.4
Robin Williams,1992,5.1
Robin Williams,1992,8.0
Robin Williams,1992,7.2
Robin Williams,1992,6.5
Robin Williams,1991,6.8
Robin Williams,1991,7.5
Robin Williams,1991,5.6
Robin Williams,1991,6.8
Robin Williams,1991,7.2
Robin Williams,1990,7.8
Robin Williams,1990,5.7
Robin Williams,1990,5.8
Robin Williams,1989,8.1
Robin Williams,1989,7.4
Robin Williams,1988,7.3
Robin Williams,1988,7.7
Robin Williams,1988,7.1
Robin Williams,1988,5.4
Robin Williams,1987,7.3
Robin Williams,1987,7.3
Robin Williams,1987,7.9
Robin Williams,1986,5.8
Robin Williams,1986,5.1
Robin Williams,1986,6.0
Robin Williams,1984,7.1
Robin Williams,1984,6.5
Robin Williams,1983,6.5
Robin Williams,1983,5.8
Robin Williams,1982,6.2
Robin Williams,1981,8.4
Robin Williams,1982,8.3
Robin Williams,1982,7.1
Robin Williams,1980,5.4
Robin Williams,1979,5.9
Robin Williams,1974,7.4
Robin Williams,1978,8.4
Robin Williams,1977,7.6
Robin Williams,1978,3.3
Robin Williams,1977,6.6
Robin Williams,1977,7.6
Robin Williams,1977,4.2
Katharine Hepburn,1994,5.9
Katharine Hepburn,1994,6.0
Katharine Hepburn,1994,6.2
Katharine Hepburn,1993,5.0
Katharine Hepburn,1992,6.3
Katharine Hepburn,1988,6.3
Katharine Hepburn,1986,6.6
Katharine Hepburn,1984,5.7
Katharine Hepburn,1981,7.6
Katharine Hepburn,1979,6.8
Katharine Hepburn,1978,5.2
Katharine Hepburn,1975,6.8
Katharine Hepburn,1975,7.7
Katharine Hepburn,1973,7.3
Katharine Hepburn,1973,6.6
Katharine Hepburn,1971,6.9
Katharine Hepburn,1969,6.0
Katharine Hepburn,1968,7.9
Katharine Hepburn,1967,7.8
Katharine Hepburn,1962,7.5
Katharine Hepburn,1959,7.5
Katharine Hepburn,1957,7.2
Katharine Hepburn,1956,6.9
Katharine Hepburn,1956,5.1
Katharine Hepburn,1955,7.1
Katharine Hepburn,1952,6.9
Katharine Hepburn,1951,7.7
Katharine Hepburn,1949,7.4
Katharine Hepburn,1948,7.2
Katharine Hepburn,1947,6.7
Katharine Hepburn,1947,6.3
Katharine Hepburn,1946,6.5
Katharine Hepburn,1945,6.6
Katharine Hepburn,1944,5.9
Katharine Hepburn,1943,6.3
Katharine Hepburn,1942,6.7
Katharine Hepburn,1942,7.1
Katharine Hepburn,1940,7.9
Katharine Hepburn,1938,7.7
Katharine Hepburn,1938,7.8
Katharine Hepburn,1937,7.7
Katharine Hepburn,1937,6.2
Katharine Hepburn,1936,6.4
Katharine Hepburn,1936,6.3
Katharine Hepburn,1935,6.2
Katharine Hepburn,1935,6.9
Katharine Hepburn,1935,5.8
Katharine Hepburn,1934,6.2
Katharine Hepburn,1934,5.4
Katharine Hepburn,1933,7.2
Katharine Hepburn,1933,6.4
Katharine Hepburn,1933,6.3
Katharine Hepburn,1932,6.5
Meryl Streep,2021,8.1
Meryl Streep,2023,6.1
Meryl Streep,2021,7.2
Meryl Streep,2020,6.1
Meryl Streep,2020,5.9
Meryl Streep,2020,6.7
Meryl Streep,2020,7.5
Meryl Streep,2020,7.3
Meryl Streep,2019,7.8
Meryl Streep,2019,6.3
Meryl Streep,2017,8.4
Meryl Streep,2018,6.7
Meryl Streep,2018,6.6
Meryl Streep,2017,7.2
Meryl Streep,2016,4.9
Meryl Streep,2016,6.8
Meryl Streep,2015,5.4
Meryl Streep,2015,6.9
Meryl Streep,2015,6.0
Meryl Streep,2014,5.9
Meryl Streep,2014,6.4
Meryl Streep,2014,6.6
Meryl Streep,2013,6.5
Meryl Streep,2013,7.2
Meryl Streep,2012,6.3
Meryl Streep,2011,6.7
Meryl Streep,2011,6.4
Meryl Streep,2008,7.5
Meryl Streep,2010,6.6
Meryl Streep,2009,6.5
Meryl Streep,2009,7.9
Meryl Streep,2009,7.0
Meryl Streep,2008,7.5
Meryl Streep,2008,6.5
Meryl Streep,2007,6.2
Meryl Streep,2007,6.8
Meryl Streep,2007,6.4
Meryl Streep,2007,6.0
Meryl Streep,2006,5.8
Meryl Streep,2006,6.9
Meryl Streep,2006,6.5
Meryl Streep,2006,6.7
Meryl Streep,2005,6.2
Meryl Streep,2004,6.8
Meryl Streep,2004,6.6
Meryl Streep,2004,4.5
Meryl Streep,2003,5.7
Meryl Streep,2003,8.1
Meryl Streep,2003,5.8
Meryl Streep,2002,7.5
Meryl Streep,2002,7.7
Meryl Streep,2001,7.2
Meryl Streep,1997,7.5
Meryl Streep,1999,6.8
Meryl Streep,1999,6.1
Meryl Streep,1998,6.9
Meryl Streep,1998,6.3
Meryl Streep,1997,6.7
Meryl Streep,1996,6.7
Meryl Streep,1996,6.1
Meryl Streep,1995,7.6
Meryl Streep,1989,8.7
Meryl Streep,1994,6.5
Meryl Streep,1993,6.9
Meryl Streep,1992,6.6
Meryl Streep,1991,7.2
Meryl Streep,1990,6.7
Meryl Streep,1990,5.8
Meryl Streep,1989,6.2
Meryl Streep,1989,5.7
Meryl Streep,1985,8.2
Meryl Streep,1988,6.2
Meryl Streep,1988,6.9
Meryl Streep,1987,6.9
Meryl Streep,1987,6.7
Meryl Streep,1987,7.4
Meryl Streep,1986,6.1
Meryl Streep,1985,7.7
Meryl Streep,1985,7.1
Meryl Streep,1985,6.0
Meryl Streep,1984,6.5
Meryl Streep,1983,7.1
Meryl Streep,1982,7.5
Meryl Streep,1982,6.0
Meryl Streep,1981,6.9
Meryl Streep,1979,7.8
Meryl Streep,1979,6.1
Meryl Streep,1971,7.9
Meryl Streep,1979,7.8
Meryl Streep,1978,8.1
Meryl Streep,1978,8.0
Meryl Streep,1977,7.1
Meryl Streep,1977,6.3
Meryl Streep,1976,6.5
Audrey Hepburn,1989,6.4
Audrey Hepburn,1987,6.0
Audrey Hepburn,1981,6.3
Audrey Hepburn,1979,4.6
Audrey Hepburn,1976,6.5
Audrey Hepburn,1967,7.7
Audrey Hepburn,1967,7.4
Audrey Hepburn,1966,7.5
Audrey Hepburn,1964,7.7
Audrey Hepburn,1964,6.3
Audrey Hepburn,1963,7.8
Audrey Hepburn,1961,7.8
Audrey Hepburn,1961,7.6
Audrey Hepburn,1960,6.6
Audrey Hepburn,1959,7.5
Audrey Hepburn,1959,5.3
Audrey Hepburn,1957,7.1
Audrey Hepburn,1957,7.0
Audrey Hepburn,1954,7.2
Audrey Hepburn,1956,6.7
Audrey Hepburn,1954,7.6
Audrey Hepburn,1953,6.0
Audrey Hepburn,1953,8.0
Audrey Hepburn,1952,6.5
Audrey Hepburn,1951,7.6
Audrey Hepburn,1952,6.2
Audrey Hepburn,1951,5.5
Audrey Hepburn,1951,5.7
Audrey Hepburn,1950,7.8
Audrey Hepburn,1951,7.5
Audrey Hepburn,1951,7.1
Audrey Hepburn,1951,5.0
Audrey Hepburn,1949,5.5
Maggie Smith,2023,6.3
Maggie Smith,2022,7.4
Maggie Smith,2021,6.7
Maggie Smith,2019,7.4
Maggie Smith,2018,6.1
Maggie Smith,2018,5.2
Maggie Smith,2010,8.7
Maggie Smith,2015,6.7
Maggie Smith,2015,6.5
Maggie Smith,2014,6.4
Maggie Smith,2013,7.5
Maggie Smith,2012,6.8
Maggie Smith,2011,7.2
Maggie Smith,2011,8.1
Maggie Smith,2011,5.9
Maggie Smith,2010,6.1
Maggie Smith,2009,6.7
Maggie Smith,2009,7.6
Maggie Smith,2007,6.7
Maggie Smith,2007,7.5
Maggie Smith,2007,7.0
Maggie Smith,2006,6.7
Maggie Smith,2006,7.5
Maggie Smith,2005,6.8
Maggie Smith,2005,7.7
Maggie Smith,2004,7.0
Maggie Smith,2004,7.9
Maggie Smith,2003,6.9
Maggie Smith,2002,7.7
Maggie Smith,2002,7.4
Maggie Smith,2002,6.1
Maggie Smith,2001,7.2
Maggie Smith,2001,7.6
Maggie Smith,1999,7.7
Maggie Smith,1999,7.1
Maggie Smith,1999,6.0
Maggie Smith,1999,6.9
Maggie Smith,1998,5.7
Maggie Smith,1997,6.7
Maggie Smith,1996,6.4
Maggie Smith,1995,7.3
Maggie Smith,1993,5.7
Maggie Smith,1993,7.3
Maggie Smith,1971,7.9
Maggie Smith,1992,6.5
Maggie Smith,1985,6.3
Maggie Smith,1991,6.8
Maggie Smith,1990,7.2
Maggie Smith,1988,8.6
Maggie Smith,1987,7.0
Maggie Smith,1985,7.2
Maggie Smith,1984,6.5
Maggie Smith,1984,5.7
Maggie Smith,1982,7.5
Maggie Smith,1983,5.6
Maggie Smith,1982,6.2
Maggie Smith,1982,7.0
Maggie Smith,1981,6.9
Maggie Smith,1981,6.2
Maggie Smith,1978,6.2
Maggie Smith,1978,7.2
Maggie Smith,1976,7.3
Maggie Smith,1973,6.6
Maggie Smith,1972,6.3
Maggie Smith,1965,6.9
Maggie Smith,1969,7.0
Maggie Smith,1969,7.6
Maggie Smith,1968,6.8
Maggie Smith,1967,6.9
Maggie Smith,1967,7.1
Maggie Smith,1967,6.8
Maggie Smith,1955,7.3
Maggie Smith,1965,7.0
Maggie Smith,1965,6.5
Maggie Smith,1964,7.2
Maggie Smith,1963,6.3
Maggie Smith,1962,5.9
Maggie Smith,1955,8.0
Maggie Smith,1956,7.6
Maggie Smith,1958,6.8
Maggie Smith,1947,8.0
Maggie Smith,1956,7.3
Maggie Smith,1956,6.1
Maggie Smith,1955,8.2
Maggie Smith,1950,7.8
Ingrid Bergman,1982,7.5
